ID,Name,Core Type,Description,Stat/Effect Target,Operation,Value,Rarity,Weight,Recommended Monster Types,Notes
T-181,Staff Inspector,ConditionalDualStatBoosterTitleSO,Boosts ATK+SPD by 20%.,ATK+SPD,Multiply,1.2,Uncommon,60,"Clash, Umbral","Fits Clash, Umbral."
T-182,Corporate Lineman,BattleStartFlatTitleSO,Adds 10 atk at battle start.,ATK,Add,10,Common,73,"Clash, Umbral","Fits Clash, Umbral."
T-183,Logistics Biologist,BattleStartFlatTitleSO,Adds 15 atk at battle start.,ATK,Add,15,Uncommon,59,"Clash, Corrupt","Fits Clash, Corrupt."
T-184,Technician,BattleStartFlatTitleSO,Adds 20 atk at battle start.,ATK,Add,20,Rare,42,"Clash, Umbral","Fits Clash, Umbral."
T-185,Dispatcher,BattleStartFlatTitleSO,Adds 25 atk at battle start.,ATK,Add,25,Epic,17,"Clash, Corrupt","Fits Clash, Corrupt."
T-186,Clerk,BattleStartFlatTitleSO,Adds 30 atk at battle start.,ATK,Add,30,Legendary,11,"Corrupt, Umbral","Fits Corrupt, Umbral."
T-187,Principal Supervisor,BattleStartFlatTitleSO,Adds 10 atk at battle start.,ATK,Add,10,Common,88,"Corrupt, Umbral","Fits Corrupt, Umbral."
T-188,Fitter,BattleStartFlatTitleSO,Adds 15 atk at battle start.,ATK,Add,15,Uncommon,67,"Corrupt, Fire","Fits Corrupt, Fire."
T-189,Principal Designer,BattleStartFlatTitleSO,Adds 20 atk at battle start.,ATK,Add,20,Rare,39,"Clash, Corrupt","Fits Clash, Corrupt."
T-190,Accountant,BattleStartFlatTitleSO,Adds 25 atk at battle start.,ATK,Add,25,Epic,27,"Corrupt, Umbral","Fits Corrupt, Umbral."
T-191,Draftsman,BattleStartFlatTitleSO,Adds 30 atk at battle start.,ATK,Add,30,Legendary,12,"Clash, Umbral","Fits Clash, Umbral."
T-192,Field Clerk,BattleStartFlatTitleSO,Adds 10 atk at battle start.,ATK,Add,10,Common,76,"Clash, Umbral","Fits Clash, Umbral."
T-193,Workshop Modeler,BattleStartFlatTitleSO,Adds 15 atk at battle start.,ATK,Add,15,Uncommon,55,"Corrupt, Fire","Fits Corrupt, Fire."
T-194,Principal Therapist,BattleStartFlatTitleSO,Adds 20 atk at battle start.,ATK,Add,20,Rare,46,"Fire, Umbral","Fits Fire, Umbral."
T-195,Detective,BattleStartFlatTitleSO,Adds 25 atk at battle start.,ATK,Add,25,Epic,28,"Corrupt, Umbral","Fits Corrupt, Umbral."
T-196,Field Carver,BattleStartFlatTitleSO,Adds 30 atk at battle start.,ATK,Add,30,Legendary,9,"Corrupt, Fire","Fits Corrupt, Fire."
T-197,Safety Teacher,BattleStartFlatTitleSO,Adds 10 atk at battle start.,ATK,Add,10,Common,74,"Clash, Fire","Fits Clash, Fire."
T-198,National Glazier,BattleStartFlatTitleSO,Adds 15 atk at battle start.,ATK,Add,15,Uncommon,57,"Clash, Umbral","Fits Clash, Umbral."
T-199,Support Commander,BattleStartFlatTitleSO,Adds 20 atk at battle start.,ATK,Add,20,Rare,32,"Clash, Corrupt","Fits Clash, Corrupt."
T-200,Staff Paramedic,BattleStartFlatTitleSO,Adds 25 atk at battle start.,ATK,Add,25,Epic,29,"Corrupt, Umbral","Fits Corrupt, Umbral."
T-201,Lead Locksmith,BattleStartFlatTitleSO,Adds 30 atk at battle start.,ATK,Add,30,Legendary,11,"Clash, Corrupt","Fits Clash, Corrupt."
T-202,Head Doctor,BattleStartFlatTitleSO,Adds 10 atk at battle start.,ATK,Add,10,Common,77,"Corrupt, Umbral","Fits Corrupt, Umbral."
T-203,Controller,BattleStartFlatTitleSO,Adds 15 atk at battle start.,ATK,Add,15,Uncommon,50,"Corrupt, Fire","Fits Corrupt, Fire."
T-204,Decorator,BattleStartFlatTitleSO,Adds 20 atk at battle start.,ATK,Add,20,Rare,37,"Corrupt, Umbral","Fits Corrupt, Umbral."
T-205,Chief Porter,BattleStartShieldTitleSO,Grants 10% HP shield at battle start.,HP,Percent,10,Common,86,"Ground, Water","Fits Ground, Water."
T-206,Development Captain,BattleStartShieldTitleSO,Grants 15% HP shield at battle start.,HP,Percent,15,Uncommon,67,"Grass, Water","Fits Grass, Water."
T-207,Assistant Sailor,BattleStartShieldTitleSO,Grants 20% HP shield at battle start.,HP,Percent,20,Rare,44,"Grass, Ground","Fits Grass, Ground."
T-208,Training Lineman,BattleStartShieldTitleSO,Grants 25% HP shield at battle start.,HP,Percent,25,Epic,25,"Alloy, Rock","Fits Alloy, Rock."
T-209,Quality Carpenter,BattleStartShieldTitleSO,Grants 30% HP shield at battle start.,HP,Percent,30,Legendary,12,"Alloy, Ground","Fits Alloy, Ground."
T-210,Captain,BattleStartShieldTitleSO,Grants 10% HP shield at battle start.,HP,Percent,10,Common,87,"Grass, Ground","Fits Grass, Ground."
T-211,Operations Navigator,BattleStartShieldTitleSO,Grants 15% HP shield at battle start.,HP,Percent,15,Uncommon,65,"Ground, Rock","Fits Ground, Rock."
T-212,Assistant Grinder,BattleStartShieldTitleSO,Grants 20% HP shield at battle start.,HP,Percent,20,Rare,37,"Ground, Rock","Fits Ground, Rock."
T-213,Laboratory Miner,BattleStartShieldTitleSO,Grants 25% HP shield at battle start.,HP,Percent,25,Epic,25,"Grass, Rock","Fits Grass, Rock."
T-214,Paramedic,BattleStartShieldTitleSO,Grants 30% HP shield at battle start.,HP,Percent,30,Legendary,12,"Rock, Water","Fits Rock, Water."
T-215,Supply Steward,BattleStartShieldTitleSO,Grants 10% HP shield at battle start.,HP,Percent,10,Common,77,"Alloy, Rock","Fits Alloy, Rock."
T-216,National Judge,BattleStartShieldTitleSO,Grants 15% HP shield at battle start.,HP,Percent,15,Uncommon,60,"Alloy, Water","Fits Alloy, Water."
T-217,Butcher,BattleStartShieldTitleSO,Grants 20% HP shield at battle start.,HP,Percent,20,Rare,34,"Alloy, Grass","Fits Alloy, Grass."
T-218,Production Decorator,BattleStartShieldTitleSO,Grants 25% HP shield at battle start.,HP,Percent,25,Epic,21,"Alloy, Grass","Fits Alloy, Grass."
T-219,Laboratory Attendant,BattleStartShieldTitleSO,Grants 30% HP shield at battle start.,HP,Percent,30,Legendary,6,"Alloy, Ground","Fits Alloy, Ground."
T-220,Modeler,BattleStartShieldTitleSO,Grants 10% HP shield at battle start.,HP,Percent,10,Common,80,"Alloy, Ground","Fits Alloy, Ground."
T-221,Junior Photographer,BattleStartShieldTitleSO,Grants 15% HP shield at battle start.,HP,Percent,15,Uncommon,63,"Grass, Water","Fits Grass, Water."
T-222,Development Grinder,BattleStartShieldTitleSO,Grants 20% HP shield at battle start.,HP,Percent,20,Rare,43,"Ground, Water","Fits Ground, Water."
T-223,Navigator,BattleStartShieldTitleSO,Grants 25% HP shield at battle start.,HP,Percent,25,Epic,28,"Alloy, Ground","Fits Alloy, Ground."
T-224,Quality Baker,ClutchBoosterTitleSO,Boosts ATK by 10%.,ATK,Multiply,1.1,Common,85,"Corrupt, Wyrm","Fits Corrupt, Wyrm."
T-225,Safety Captain,ClutchBoosterTitleSO,Boosts ATK by 20%.,ATK,Multiply,1.2,Uncommon,59,"Corrupt, Umbral","Fits Corrupt, Umbral."
T-226,Senior Host,ClutchBoosterTitleSO,Boosts ATK by 30%.,ATK,Multiply,1.3,Rare,47,"Corrupt, Umbral","Fits Corrupt, Umbral."
T-227,Control Modeler,ClutchBoosterTitleSO,Boosts ATK by 45%.,ATK,Multiply,1.45,Epic,18,"Clash, Corrupt","Fits Clash, Corrupt."
T-228,Control Smith,ClutchBoosterTitleSO,Boosts ATK by 65%.,ATK,Multiply,1.65,Legendary,12,"Corrupt, Wyrm","Fits Corrupt, Wyrm."
T-229,Quality Chemist,ClutchBoosterTitleSO,Boosts ATK by 10%.,ATK,Multiply,1.1,Common,80,"Clash, Umbral","Fits Clash, Umbral."
T-230,Development Bookkeeper,ClutchBoosterTitleSO,Boosts ATK by 20%.,ATK,Multiply,1.2,Uncommon,55,"Umbral, Wyrm","Fits Umbral, Wyrm."
T-231,Head Electrician,ClutchBoosterTitleSO,Boosts ATK by 30%.,ATK,Multiply,1.3,Rare,49,"Corrupt, Wyrm","Fits Corrupt, Wyrm."
T-232,Resident Glazier,ClutchBoosterTitleSO,Boosts ATK by 45%.,ATK,Multiply,1.45,Epic,24,"Umbral, Wyrm","Fits Umbral, Wyrm."
T-233,Engineer,ClutchBoosterTitleSO,Boosts ATK by 65%.,ATK,Multiply,1.65,Legendary,11,"Corrupt, Umbral","Fits Corrupt, Umbral."
T-234,Lead Electrician,DamageFilterTitleSO,Reduces incoming damage by 5% vs listed types.,Damage,Multiply,0.95,Common,75,"Rock, Water","Fits Rock, Water."
T-235,Maintenance Artisan,DamageFilterTitleSO,Reduces incoming damage by 10% vs listed types.,Damage,Multiply,0.9,Uncommon,62,"Grass, Rock","Fits Grass, Rock."
T-236,Illustrator,DamageFilterTitleSO,Reduces incoming damage by 15% vs listed types.,Damage,Multiply,0.85,Rare,44,"Alloy, Rock","Fits Alloy, Rock."
T-237,Contractor,DamageFilterTitleSO,Reduces incoming damage by 20% vs listed types.,Damage,Multiply,0.8,Epic,27,"Ground, Rock","Fits Ground, Rock."
T-238,Development Botanist,DamageFilterTitleSO,Reduces incoming damage by 25% vs listed types.,Damage,Multiply,0.75,Legendary,11,"Rock, Water","Fits Rock, Water."
T-239,Principal Carpenter,DamageFilterTitleSO,Reduces incoming damage by 5% vs listed types.,Damage,Multiply,0.95,Common,85,"Alloy, Water","Fits Alloy, Water."
T-240,Plant Editor,DamageFilterTitleSO,Reduces incoming damage by 10% vs listed types.,Damage,Multiply,0.9,Uncommon,61,"Grass, Water","Fits Grass, Water."
T-241,Principal Janitor,DamageFilterTitleSO,Reduces incoming damage by 15% vs listed types.,Damage,Multiply,0.85,Rare,31,"Grass, Water","Fits Grass, Water."
T-242,Principal Weaver,DamageFilterTitleSO,Reduces incoming damage by 20% vs listed types.,Damage,Multiply,0.8,Epic,18,"Grass, Water","Fits Grass, Water."
T-243,Miner,DamageFilterTitleSO,Reduces incoming damage by 25% vs listed types.,Damage,Multiply,0.75,Legendary,8,"Grass, Ground","Fits Grass, Ground."
T-244,Farmer,DamageFilterTitleSO,Reduces incoming damage by 5% vs listed types.,Damage,Multiply,0.95,Common,73,"Alloy, Grass","Fits Alloy, Grass."
T-245,Teacher,DamageFilterTitleSO,Reduces incoming damage by 10% vs listed types.,Damage,Multiply,0.9,Uncommon,64,"Alloy, Rock","Fits Alloy, Rock."
T-246,Support Surveyor,DamageFilterTitleSO,Reduces incoming damage by 15% vs listed types.,Damage,Multiply,0.85,Rare,35,"Alloy, Water","Fits Alloy, Water."
T-247,Principal Paramedic,DamageFilterTitleSO,Reduces incoming damage by 20% vs listed types.,Damage,Multiply,0.8,Epic,27,"Grass, Rock","Fits Grass, Rock."
T-248,Botanist,EffectivenessModTitleSO,Increases type effectiveness by 10%.,Effectiveness,Multiply,1.1,Common,73,"Corrupt, Fire","Fits Corrupt, Fire."
T-249,Guard,EffectivenessModTitleSO,Increases type effectiveness by 20%.,Effectiveness,Multiply,1.2,Uncommon,68,"Clash, Corrupt","Fits Clash, Corrupt."
T-250,Shift Manager,EffectivenessModTitleSO,Increases type effectiveness by 30%.,Effectiveness,Multiply,1.3,Rare,36,"Fire, Umbral","Fits Fire, Umbral."
T-251,Regional Butcher,EffectivenessModTitleSO,Increases type effectiveness by 45%.,Effectiveness,Multiply,1.45,Epic,26,"Corrupt, Fire","Fits Corrupt, Fire."
T-252,Mechanic,EffectivenessModTitleSO,Increases type effectiveness by 65%.,Effectiveness,Multiply,1.65,Legendary,9,"Fire, Umbral","Fits Fire, Umbral."
T-253,Control Pilot,EffectivenessModTitleSO,Increases type effectiveness by 10%.,Effectiveness,Multiply,1.1,Common,71,"Clash, Umbral","Fits Clash, Umbral."
T-254,Seamstress,EffectivenessModTitleSO,Increases type effectiveness by 20%.,Effectiveness,Multiply,1.2,Uncommon,63,"Fire, Umbral","Fits Fire, Umbral."
T-255,Consultant,EffectivenessModTitleSO,Increases type effectiveness by 30%.,Effectiveness,Multiply,1.3,Rare,46,"Fire, Umbral","Fits Fire, Umbral."
T-256,Senior Bookkeeper,EffectivenessModTitleSO,Increases type effectiveness by 45%.,Effectiveness,Multiply,1.45,Epic,28,"Clash, Corrupt","Fits Clash, Corrupt."
T-257,Researcher,EffectivenessModTitleSO,Increases type effectiveness by 65%.,Effectiveness,Multiply,1.65,Legendary,6,"Clash, Corrupt","Fits Clash, Corrupt."
T-258,Surveyor,EffectivenessModTitleSO,Increases type effectiveness by 10%.,Effectiveness,Multiply,1.1,Common,90,"Clash, Umbral","Fits Clash, Umbral."
T-259,Development Programmer,EffectivenessModTitleSO,Increases type effectiveness by 20%.,Effectiveness,Multiply,1.2,Uncommon,54,"Clash, Fire","Fits Clash, Fire."
T-260,Junior Electrician,EffectivenessNullifyTitleSO,Reduces type weakness damage by 5%.,Effectiveness,Multiply,0.95,Common,86,"Ground, Rock","Fits Ground, Rock."
T-261,Lead Tailor,EffectivenessNullifyTitleSO,Reduces type weakness damage by 10%.,Effectiveness,Multiply,0.9,Uncommon,64,"Ground, Rock","Fits Ground, Rock."
T-262,Shift Farmer,EffectivenessNullifyTitleSO,Reduces type weakness damage by 20%.,Effectiveness,Multiply,0.8,Rare,40,"Grass, Water","Fits Grass, Water."
T-263,Staff Designer,EffectivenessNullifyTitleSO,Reduces type weakness damage by 35%.,Effectiveness,Multiply,0.65,Epic,19,"Grass, Ground","Fits Grass, Ground."
T-264,Assistant Concierge,EffectivenessNullifyTitleSO,Reduces type weakness damage by 55%.,Effectiveness,Multiply,0.45,Legendary,12,"Alloy, Ground","Fits Alloy, Ground."
T-265,Quality Analyst,EffectivenessNullifyTitleSO,Reduces type weakness damage by 5%.,Effectiveness,Multiply,0.95,Common,80,"Ground, Water","Fits Ground, Water."
T-266,Laboratory Navigator,EffectivenessNullifyTitleSO,Reduces type weakness damage by 10%.,Effectiveness,Multiply,0.9,Uncommon,60,"Grass, Ground","Fits Grass, Ground."
T-267,Planner,EffectivenessNullifyTitleSO,Reduces type weakness damage by 20%.,Effectiveness,Multiply,0.8,Rare,36,"Alloy, Rock","Fits Alloy, Rock."
T-268,Lead Researcher,EventStacksTitleSO,Gains +3% ATK per stack.,ATK,Per Stack,3,Common,80,"Clash, Umbral","Fits Clash, Umbral."
T-269,Logistics Steward,EventStacksTitleSO,Gains +4% ATK per stack.,ATK,Per Stack,4,Uncommon,58,"Fire, Umbral","Fits Fire, Umbral."
T-270,Commander,EventStacksTitleSO,Gains +5% ATK per stack.,ATK,Per Stack,5,Rare,36,"Clash, Fire","Fits Clash, Fire."
T-271,Support Officer,EventStacksTitleSO,Gains +6% ATK per stack.,ATK,Per Stack,6,Epic,26,"Clash, Corrupt","Fits Clash, Corrupt."
T-272,Cashier,EventStacksTitleSO,Gains +7% ATK per stack.,ATK,Per Stack,7,Legendary,13,"Corrupt, Umbral","Fits Corrupt, Umbral."
T-273,Junior Sommelier,EventStacksTitleSO,Gains +3% ATK per stack.,ATK,Per Stack,3,Common,85,"Clash, Corrupt","Fits Clash, Corrupt."
T-274,Field Scientist,EventStacksTitleSO,Gains +4% ATK per stack.,ATK,Per Stack,4,Uncommon,50,"Corrupt, Fire","Fits Corrupt, Fire."
T-275,Electrician,EventStacksTitleSO,Gains +5% ATK per stack.,ATK,Per Stack,5,Rare,37,"Clash, Umbral","Fits Clash, Umbral."
T-276,Foreman,EventStacksTitleSO,Gains +6% ATK per stack.,ATK,Per Stack,6,Epic,18,"Clash, Umbral","Fits Clash, Umbral."
T-277,Assistant Plumber,EventStacksTitleSO,Gains +7% ATK per stack.,ATK,Per Stack,7,Legendary,14,"Corrupt, Umbral","Fits Corrupt, Umbral."
T-278,Mason,EventStacksTitleSO,Gains +3% ATK per stack.,ATK,Per Stack,3,Common,87,"Corrupt, Umbral","Fits Corrupt, Umbral."
T-279,Staff Welder,EventStacksTitleSO,Gains +4% ATK per stack.,ATK,Per Stack,4,Uncommon,67,"Corrupt, Umbral","Fits Corrupt, Umbral."
T-280,Architect,EventStacksTitleSO,Gains +5% ATK per stack.,ATK,Per Stack,5,Rare,44,"Corrupt, Umbral","Fits Corrupt, Umbral."
T-281,Training Nurse,EventStacksTitleSO,Gains +6% ATK per stack.,ATK,Per Stack,6,Epic,19,"Corrupt, Fire","Fits Corrupt, Fire."
T-282,Firefighter,TurnBoosterTitleSO,Gains +2% ATK each turn.,ATK,Per Turn,2,Common,76,"Clash, Wyrm","Fits Clash, Wyrm."
T-283,Logistics Researcher,TurnBoosterTitleSO,Gains +3% ATK each turn.,ATK,Per Turn,3,Uncommon,67,"Corrupt, Wyrm","Fits Corrupt, Wyrm."
T-284,Maintenance Analyst,TurnBoosterTitleSO,Gains +4% ATK each turn.,ATK,Per Turn,4,Rare,36,"Corrupt, Umbral","Fits Corrupt, Umbral."
T-285,Roofer,TurnBoosterTitleSO,Gains +5% ATK each turn.,ATK,Per Turn,5,Epic,26,"Clash, Wyrm","Fits Clash, Wyrm."
T-286,Workshop Commander,TurnBoosterTitleSO,Gains +6% ATK each turn.,ATK,Per Turn,6,Legendary,8,"Clash, Wyrm","Fits Clash, Wyrm."
T-287,Doctor,TurnBoosterTitleSO,Gains +2% ATK each turn.,ATK,Per Turn,2,Common,81,"Corrupt, Umbral","Fits Corrupt, Umbral."
T-288,Host,TurnBoosterTitleSO,Gains +3% ATK each turn.,ATK,Per Turn,3,Uncommon,50,"Corrupt, Umbral","Fits Corrupt, Umbral."
T-289,Receptionist,TurnBoosterTitleSO,Gains +4% ATK each turn.,ATK,Per Turn,4,Rare,31,"Clash, Wyrm","Fits Clash, Wyrm."
T-290,Glazier,TurnBoosterTitleSO,Gains +5% ATK each turn.,ATK,Per Turn,5,Epic,19,"Clash, Corrupt","Fits Clash, Corrupt."
T-291,Grinder,TurnBoosterTitleSO,Gains +6% ATK each turn.,ATK,Per Turn,6,Legendary,12,"Umbral, Wyrm","Fits Umbral, Wyrm."
T-292,Artisan,TurnBoosterTitleSO,Gains +2% ATK each turn.,ATK,Per Turn,2,Common,88,"Clash, Corrupt","Fits Clash, Corrupt."
T-293,Builder,TurnBoosterTitleSO,Gains +3% ATK each turn.,ATK,Per Turn,3,Uncommon,65,"Corrupt, Umbral","Fits Corrupt, Umbral."
T-294,Control Locksmith,TurnBoosterTitleSO,Gains +4% ATK each turn.,ATK,Per Turn,4,Rare,35,"Corrupt, Wyrm","Fits Corrupt, Wyrm."
T-295,Principal Biologist,TurnBoosterTitleSO,Gains +5% ATK each turn.,ATK,Per Turn,5,Epic,28,"Umbral, Wyrm","Fits Umbral, Wyrm."
T-296,Workshop Machinist,TurnBoosterTitleSO,Gains +6% ATK each turn.,ATK,Per Turn,6,Legendary,6,"Corrupt, Umbral","Fits Corrupt, Umbral."
T-297,Caretaker,TurnBoosterTitleSO,Gains +2% ATK each turn.,ATK,Per Turn,2,Common,72,"Umbral, Wyrm","Fits Umbral, Wyrm."
T-298,Plant Welder,TurnBoosterTitleSO,Gains +3% ATK each turn.,ATK,Per Turn,3,Uncommon,54,"Clash, Wyrm","Fits Clash, Wyrm."
T-299,Associate Draftsman,TurnBoosterTitleSO,Gains +4% ATK each turn.,ATK,Per Turn,4,Rare,37,"Clash, Wyrm","Fits Clash, Wyrm."
T-300,Quality Broker,TypeResistTitleSO,Reduces incoming damage by 5% vs listed types.,Damage,Multiply,0.95,Common,83,"Alloy, Grass","Fits Alloy, Grass."
T-301,Corporate Builder,TypeResistTitleSO,Reduces incoming damage by 10% vs listed types.,Damage,Multiply,0.9,Uncommon,66,"Alloy, Ground","Fits Alloy, Ground."
T-302,Research Locksmith,TypeResistTitleSO,Reduces incoming damage by 15% vs listed types.,Damage,Multiply,0.85,Rare,44,"Ground, Rock","Fits Ground, Rock."
T-303,Principal Painter,TypeResistTitleSO,Reduces incoming damage by 20% vs listed types.,Damage,Multiply,0.8,Epic,19,"Alloy, Water","Fits Alloy, Water."
T-304,Laboratory Architect,TypeResistTitleSO,Reduces incoming damage by 25% vs listed types.,Damage,Multiply,0.75,Legendary,14,"Grass, Water","Fits Grass, Water."
T-305,Welder,TypeResistTitleSO,Reduces incoming damage by 5% vs listed types.,Damage,Multiply,0.95,Common,90,"Grass, Rock","Fits Grass, Rock."
T-306,Control Judge,TypeResistTitleSO,Reduces incoming damage by 10% vs listed types.,Damage,Multiply,0.9,Uncommon,52,"Alloy, Grass","Fits Alloy, Grass."
T-307,Programmer,TypeResistTitleSO,Reduces incoming damage by 15% vs listed types.,Damage,Multiply,0.85,Rare,35,"Alloy, Water","Fits Alloy, Water."
T-308,Attendant,TypeResistTitleSO,Reduces incoming damage by 20% vs listed types.,Damage,Multiply,0.8,Epic,17,"Ground, Water","Fits Ground, Water."
T-309,Chief Blacksmith,TypeResistTitleSO,Reduces incoming damage by 25% vs listed types.,Damage,Multiply,0.75,Legendary,12,"Alloy, Ground","Fits Alloy, Ground."
T-310,Potter,TypeResistTitleSO,Reduces incoming damage by 5% vs listed types.,Damage,Multiply,0.95,Common,79,"Grass, Water","Fits Grass, Water."
T-311,Associate Detective,TypeResistTitleSO,Reduces incoming damage by 10% vs listed types.,Damage,Multiply,0.9,Uncommon,59,"Ground, Rock","Fits Ground, Rock."
T-312,Assistant Driver,TypeResistTitleSO,Reduces incoming damage by 15% vs listed types.,Damage,Multiply,0.85,Rare,32,"Grass, Rock","Fits Grass, Rock."
T-313,Regional Paramedic,TypeResistTitleSO,Reduces incoming damage by 20% vs listed types.,Damage,Multiply,0.8,Epic,27,"Alloy, Grass","Fits Alloy, Grass."
T-314,Associate Fabricator,ConditionalJobRateBoosterTitleSO,Increases job rate by 10%.,Job Rate,Multiply,1.1,Common,83,"Alloy, Grass","Fits Alloy, Grass."
T-315,Lead Firefighter,ConditionalJobRateBoosterTitleSO,Increases job rate by 15%.,Job Rate,Multiply,1.15,Uncommon,57,"Bug, Oracle","Fits Bug, Oracle."
T-316,Machinist,ConditionalJobRateBoosterTitleSO,Increases job rate by 20%.,Job Rate,Multiply,1.2,Rare,34,"Grass, Oracle","Fits Grass, Oracle."
T-317,Operations Porter,ConditionalJobRateBoosterTitleSO,Increases job rate by 25%.,Job Rate,Multiply,1.25,Epic,17,"Alloy, Oracle","Fits Alloy, Oracle."
T-318,Maintenance Weaver,ConditionalJobRateBoosterTitleSO,Increases job rate by 30%.,Job Rate,Multiply,1.3,Legendary,14,"Alloy, Bug","Fits Alloy, Bug."
T-319,Concierge,ConditionalJobRateBoosterTitleSO,Increases job rate by 10%.,Job Rate,Multiply,1.1,Common,73,"Alloy, Oracle","Fits Alloy, Oracle."
T-320,Regional Pilot,ConditionalJobRateBoosterTitleSO,Increases job rate by 15%.,Job Rate,Multiply,1.15,Uncommon,59,"Bug, Oracle","Fits Bug, Oracle."
T-321,Weaver,ConditionalJobRateBoosterTitleSO,Increases job rate by 20%.,Job Rate,Multiply,1.2,Rare,46,"Bug, Oracle","Fits Bug, Oracle."
T-322,Lineman,ConditionalJobRateBoosterTitleSO,Increases job rate by 25%.,Job Rate,Multiply,1.25,Epic,16,"Bug, Grass","Fits Bug, Grass."
T-323,Logistics Receptionist,ConditionalJobRateBoosterTitleSO,Increases job rate by 30%.,Job Rate,Multiply,1.3,Legendary,10,"Alloy, Grass","Fits Alloy, Grass."
T-324,Workshop Mechanic,ConditionalJobRateBoosterTitleSO,Increases job rate by 10%.,Job Rate,Multiply,1.1,Common,72,"Alloy, Bug","Fits Alloy, Bug."
T-325,Laboratory Caretaker,ConditionalJobRateBoosterTitleSO,Increases job rate by 15%.,Job Rate,Multiply,1.15,Uncommon,68,"Alloy, Grass","Fits Alloy, Grass."
T-326,Workshop Guard,JobAuraTitleSO,Increases job rate by 10%.,Job Rate (Allies),Multiply,1.1,Common,78,"Grass, Oracle","Fits Grass, Oracle."
T-327,Shift Pilot,JobAuraTitleSO,Increases job rate by 15%.,Job Rate (Allies),Multiply,1.15,Uncommon,65,"Bug, Oracle","Fits Bug, Oracle."
T-328,Photographer,JobAuraTitleSO,Increases job rate by 20%.,Job Rate (Allies),Multiply,1.2,Rare,35,"Alloy, Oracle","Fits Alloy, Oracle."
T-329,Analyst,JobAuraTitleSO,Increases job rate by 25%.,Job Rate (Allies),Multiply,1.25,Epic,28,"Grass, Oracle","Fits Grass, Oracle."
T-330,Resident Strategist,JobAuraTitleSO,Increases job rate by 30%.,Job Rate (Allies),Multiply,1.3,Legendary,12,"Alloy, Bug","Fits Alloy, Bug."
T-331,Baker,JobAuraTitleSO,Increases job rate by 10%.,Job Rate (Allies),Multiply,1.1,Common,80,"Alloy, Oracle","Fits Alloy, Oracle."
T-332,Workshop Surveyor,JobAuraTitleSO,Increases job rate by 15%.,Job Rate (Allies),Multiply,1.15,Uncommon,53,"Bug, Oracle","Fits Bug, Oracle."
T-333,Maintenance Firefighter,JobAuraTitleSO,Increases job rate by 20%.,Job Rate (Allies),Multiply,1.2,Rare,43,"Bug, Oracle","Fits Bug, Oracle."
T-334,Principal Botanist,JobAuraTitleSO,Increases job rate by 25%.,Job Rate (Allies),Multiply,1.25,Epic,25,"Alloy, Oracle","Fits Alloy, Oracle."
T-335,Operations Treasurer,JobAuraTitleSO,Increases job rate by 30%.,Job Rate (Allies),Multiply,1.3,Legendary,5,"Grass, Oracle","Fits Grass, Oracle."
T-336,Research Concierge,JobAuraTitleSO,Increases job rate by 10%.,Job Rate (Allies),Multiply,1.1,Common,80,"Alloy, Bug","Fits Alloy, Bug."
T-337,Painter,JobAuraTitleSO,Increases job rate by 15%.,Job Rate (Allies),Multiply,1.15,Uncommon,53,"Alloy, Oracle","Fits Alloy, Oracle."
T-338,Junior Guard,JobAuraTitleSO,Increases job rate by 20%.,Job Rate (Allies),Multiply,1.2,Rare,30,"Bug, Oracle","Fits Bug, Oracle."
T-339,Barista,JobAuraTitleSO,Increases job rate by 25%.,Job Rate (Allies),Multiply,1.25,Epic,15,"Alloy, Bug","Fits Alloy, Bug."
T-340,Research Fabricator,JobAuraTitleSO,Increases job rate by 30%.,Job Rate (Allies),Multiply,1.3,Legendary,10,"Alloy, Oracle","Fits Alloy, Oracle."
T-341,Inspector,JobAuraTitleSO,Increases job rate by 10%.,Job Rate (Allies),Multiply,1.1,Common,84,"Grass, Oracle","Fits Grass, Oracle."
T-342,Head Surgeon,JobAuraTitleSO,Increases job rate by 15%.,Job Rate (Allies),Multiply,1.15,Uncommon,58,"Bug, Oracle","Fits Bug, Oracle."
T-343,Regional Sommelier,JobAuraTitleSO,Increases job rate by 20%.,Job Rate (Allies),Multiply,1.2,Rare,44,"Grass, Oracle","Fits Grass, Oracle."
T-344,Associate Foreman,JobAuraTitleSO,Increases job rate by 25%.,Job Rate (Allies),Multiply,1.25,Epic,15,"Alloy, Bug","Fits Alloy, Bug."
T-345,Junior Dispatcher,JobAuraTitleSO,Increases job rate by 30%.,Job Rate (Allies),Multiply,1.3,Legendary,7,"Alloy, Oracle","Fits Alloy, Oracle."
T-346,Assistant Carpenter,JobCapacityBoosterTitleSO,Adds 1 capacity at battle start.,Capacity,Add,1,Common,70,"Alloy, Ground","Fits Alloy, Ground."
T-347,Chief Concierge,JobCapacityBoosterTitleSO,Adds 2 capacity at battle start.,Capacity,Add,2,Uncommon,52,"Grass, Water","Fits Grass, Water."
T-348,Associate Weaver,JobCapacityBoosterTitleSO,Adds 3 capacity at battle start.,Capacity,Add,3,Rare,44,"Grass, Water","Fits Grass, Water."
T-349,National Porter,JobCapacityBoosterTitleSO,Adds 4 capacity at battle start.,Capacity,Add,4,Epic,22,"Alloy, Rock","Fits Alloy, Rock."
