ID,Name,Type,Rarity,Max Level,Can Be Starter,Starter Weight,Boss Weight,Evolution Stage,Title 1,Title 1 Unlock Amount,Title 2,Title 2 Unlock Amount,Title 3,Title 3 Unlock Amount,Title 4,Title 4 Unlock Amount,Title 5,Title 5 Unlock Amount,Evolution Form Id,Base HP,Base Attack,Base Defense,Base Speed,Spawn Weight,Job Skill,Hp Regen Per Hour,Fatigue Rate Per Hour,Fatigue Cooldown Hours,Personality,Basic Attack Name,Basic Attack Prefab Lifetime,Icon Path,Back Icon Path,Shiny Icon Path,Shiny Back Icon Path,Description
M-051,Orisel,Oracle,Common,50,Yes,10,0,1,T-065,3,T-169,10,N/A,N/A,N/A,N/A,N/A,N/A,,62,34,36,18,8,0.95,7.4,9,9.9,Strategic,Fate Tap,Oracle,Assets/Art/Monsters/Oracle/Common/Orisel_front.png,Assets/Art/Monsters/Oracle/Common/Orisel_back.png,Assets/Art/Monsters/Oracle/Common/Orisel_frontshiny.png,Assets/Art/Monsters/Oracle/Common/Orisel_backshiny.png,"A quiet oracle wisp that studies its foe before acting, favoring foresight and careful, measured strikes."
M-052,Prophel,Oracle,Epic,50,No,0,0,1,T-349,1,T-083,4,T-335,8,T-306,12,T-304,15,,88,66,60,21,0.7,1.15,10.6,10,11.4,Commander,Omen Strike,Oracle,Assets/Art/Monsters/Oracle/Epic/Prophel_front.png,Assets/Art/Monsters/Oracle/Epic/Prophel_back.png,Assets/Art/Monsters/Oracle/Epic/Prophel_frontshiny.png,Assets/Art/Monsters/Oracle/Epic/Prophel_backshiny.png,"An imposing oracle enforcer that reads the flow of battle in advance, striking with decisive force guided by grim foresight."
M-053,Divinel,Oracle,Mythic,50,No,0,0,1,T-163,2,T-168,5,T-382,8,T-243,12,T-286,15,,112,74,82,32,0.05,1.3,13.4,10,12.6,Analyst,Judgment Ray,Oracle,Assets/Art/Monsters/Oracle/Mythic/Divinel_front.png,Assets/Art/Monsters/Oracle/Mythic/Divinel_back.png,Assets/Art/Monsters/Oracle/Mythic/Divinel_frontshiny.png,Assets/Art/Monsters/Oracle/Mythic/Divinel_backshiny.png,"A mythic oracle being that peers far beyond the present moment, unleashing precise, inevitable strikes guided by absolute foresight."
M-054,Clarel,Clash,Common,50,Yes,10,0,1,T-326,3,T-346,10,N/A,N/A,N/A,N/A,N/A,N/A,M-055,50,52,24,24,8,0.95,4.8,11,7.2,Aggressive,Impact Jab,Clash,Assets/Art/Monsters/Clash/Common/Clarel_front.png,Assets/Art/Monsters/Clash/Common/Clarel_back.png,Assets/Art/Monsters/Clash/Common/Clarel_frontshiny.png,Assets/Art/Monsters/Clash/Common/Clarel_backshiny.png,"A feisty clash brawler that charges straight in, favoring constant pressure over caution."
M-055,Claron,Clash,Uncommon,50,Yes,2,0,2,T-121,2,T-131,10,T-126,14,N/A,N/A,N/A,N/A,,58,62,28,26,4.5,1,5.4,11,7.2,Relentless,Break Rush,Clash,Assets/Art/Monsters/Clash/Uncommon/Claron_front.png,Assets/Art/Monsters/Clash/Uncommon/Claron_back.png,Assets/Art/Monsters/Clash/Uncommon/Claron_frontshiny.png,Assets/Art/Monsters/Clash/Uncommon/Claron_backshiny.png,"A hardened clash fighter that builds momentum with every hit, driving foes back through sheer force."
M-056,Brawlok,Clash,Rare,50,No,0,0,1,T-067,2,T-132,6,T-184,10,T-204,14,N/A,N/A,,72,76,42,28,2,1.08,6.8,11,7.2,Bruiser,Crush Swing,Clash,Assets/Art/Monsters/Clash/Rare/Brawlok_front.png,Assets/Art/Monsters/Clash/Rare/Brawlok_back.png,Assets/Art/Monsters/Clash/Rare/Brawlok_frontshiny.png,Assets/Art/Monsters/Clash/Rare/Brawlok_backshiny.png,"A seasoned clash enforcer that trades blows head-on, growing stronger the longer it stays locked in brutal close combat."
M-057,Clashorn,Clash,Epic,50,No,0,0,1,T-123,1,T-118,4,T-053,8,T-287,12,T-042,15,,86,98,40,31,0.7,1.15,6.9,11,7.8,Berserker,Rend Impact,Clash,Assets/Art/Monsters/Clash/Epic/Clashorn_front.png,Assets/Art/Monsters/Clash/Epic/Clashorn_back.png,Assets/Art/Monsters/Clash/Epic/Clashorn_frontshiny.png,Assets/Art/Monsters/Clash/Epic/Clashorn_backshiny.png,"A brutal clash juggernaut that thrives in prolonged combat, tearing into enemies with escalating, bone-crushing force."
M-058,Morbel,Corrupt,Common,50,Yes,10,0,1,T-120,3,T-115,10,N/A,N/A,N/A,N/A,N/A,N/A,M-059,54,54,22,20,8,0.95,6.2,11,9.2,Chaotic,Rot Jab,Corrupt,Assets/Art/Monsters/Corrupt/Common/Morbel_front.png,Assets/Art/Monsters/Corrupt/Common/Morbel_back.png,Assets/Art/Monsters/Corrupt/Common/Morbel_frontshiny.png,Assets/Art/Monsters/Corrupt/Common/Morbel_backshiny.png,"A warped sprout born of corruption, lurching forward with reckless strikes and unstable energy."
M-059,Morbren,Corrupt,Uncommon,50,Yes,2,0,2,T-116,2,T-303,10,T-075,14,N/A,N/A,N/A,N/A,,62,64,26,24,4.5,1,7.1,11,9.2,Wildling,Blight Smash,Corrupt,Assets/Art/Monsters/Corrupt/Uncommon/Morbren_front.png,Assets/Art/Monsters/Corrupt/Uncommon/Morbren_back.png,Assets/Art/Monsters/Corrupt/Uncommon/Morbren_frontshiny.png,Assets/Art/Monsters/Corrupt/Uncommon/Morbren_backshiny.png,"A fully corrupted brute that thrives on chaos, smashing enemies with volatile force that grows more dangerous the longer it fights."
M-060,Blightor,Corrupt,Mythic,50,No,0,0,1,T-312,2,T-134,5,T-152,8,T-124,12,T-174,15,,118,104,48,30,0.05,1.3,13.6,11,12.1,Wildling,Ruin Burst,Corrupt,Assets/Art/Monsters/Corrupt/Mythic/Blightor_front.png,Assets/Art/Monsters/Corrupt/Mythic/Blightor_back.png,Assets/Art/Monsters/Corrupt/Mythic/Blightor_frontshiny.png,Assets/Art/Monsters/Corrupt/Mythic/Blightor_backshiny.png,"A mythic avatar of corruption that radiates unstable power, overwhelming foes with catastrophic strikes fueled by rampant decay."
M-061,Nightveil,Umbral,Boss,50,No,0,5,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,160,140,70,30,0,1,18.4,11,10.5,Phantom,Veil Annihilation,Umbral,Assets/Art/Monsters/Umbral/Boss/Nightveil_front.png,Assets/Art/Monsters/Umbral/Boss/Nightveil_back.png,Assets/Art/Monsters/Umbral/Boss/Nightveil_frontshiny.png,Assets/Art/Monsters/Umbral/Boss/Nightveil_backshiny.png,"A boss-class umbral entity that tears through reality itself, phasing between shadows as it delivers devastating, unavoidable strikes."
M-062,Stormek,Electric,Boss,50,No,0,5,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,140,160,60,40,0,1,14,11.6,9.5,Executioner,Catastorm,Electric,Assets/Art/Monsters/Electric/Boss/Stormek_front.png,Assets/Art/Monsters/Electric/Boss/Stormek_back.png,Assets/Art/Monsters/Electric/Boss/Stormek_frontshiny.png,Assets/Art/Monsters/Electric/Boss/Stormek_backshiny.png,A colossal electric tyrant that builds lethal charge before unleashing battlefield-clearing bursts of lightning.
M-063,Skyrend,Sky,Boss,50,No,0,5,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,130,150,55,65,0,1,13,11,9.5,Opportunist,Heaven Split,Sky,Assets/Art/Monsters/Sky/Boss/Skyrend_front.png,Assets/Art/Monsters/Sky/Boss/Skyrend_back.png,Assets/Art/Monsters/Sky/Boss/Skyrend_frontshiny.png,Assets/Art/Monsters/Sky/Boss/Skyrend_backshiny.png,"A supreme aerial predator that dominates the skies, striking from impossible angles with overwhelming speed and force."
M-064,Pyroth,Fire,Boss,50,No,0,5,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,150,170,50,30,0,1,14.3,12.1,9,Berserker,Worldburn,Fire,Assets/Art/Monsters/Fire/Boss/Pyroth_front.png,Assets/Art/Monsters/Fire/Boss/Pyroth_back.png,Assets/Art/Monsters/Fire/Boss/Pyroth_frontshiny.png,Assets/Art/Monsters/Fire/Boss/Pyroth_backshiny.png,"A raging inferno incarnate that floods the battlefield with relentless flames, growing more destructive the longer it survives."
M-065,Swarmor,Bug,Boss,50,No,0,5,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,145,135,70,50,0,1,15.2,8.5,9.8,Wildling,Endless Brood,Bug,Assets/Art/Monsters/Bug/Boss/Swarmor_front.png,Assets/Art/Monsters/Bug/Boss/Swarmor_back.png,Assets/Art/Monsters/Bug/Boss/Swarmor_frontshiny.png,Assets/Art/Monsters/Bug/Boss/Swarmor_backshiny.png,A nightmare hive mind that overwhelms foes through sheer numbers and relentless coordinated assault.
